UF,Código do Município,Município,Estoque Fevereiro/2020,Admissões Fevereiro/2020,Desligamentos Fevereiro/2020,Saldos Fevereiro/2020,Estoque Março/2020,Admissões Março/2020,Desligamentos Março/2020,Saldos Março/2020,Estoque Abril/2020,Admissões Abril/2020,Desligamentos Abril/2020,Saldos Abril/2020,Estoque Maio/2020,Admissões Maio/2020,Desligamentos Maio/2020,Saldos Maio/2020,Estoque Junho/2020,Admissões Junho/2020,Desligamentos Junho/2020,Saldos Junho/2020,Estoque Julho/2020,Admissões Julho/2020,Desligamentos Julho/2020,Saldos Julho/2020,Estoque Agosto/2020,Admissões Agosto/2020,Desligamentos Agosto/2020,Saldos Agosto/2020,Estoque Setembro/2020,Admissões Setembro/2020,Desligamentos Setembro/2020,Saldos Setembro/2020,Estoque Outubro/2020,Admissões Outubro/2020,Desligamentos Outubro/2020,Saldos Outubro/2020,Estoque Novembro/2020,Admissões Novembro/2020,Desligamentos Novembro/2020,Saldos Novembro/2020,Estoque Dezembro/2020,Admissões Dezembro/2020,Desligamentos Dezembro/2020,Saldos Dezembro/2020,Estoque Janeiro/2021,Admissões Janeiro/2021,Desligamentos Janeiro/2021,Saldos Janeiro/2021,Estoque Fevereiro/2021,Admissões Fevereiro/2021,Desligamentos Fevereiro/2021,Saldos Fevereiro/2021,Estoque Março/2021,Admissões Março/2021,Desligamentos Março/2021,Saldos Março/2021
RO,110001,Ro-Alta Floresta D Oeste,1767,77,69,8,1758,67,76,-9,1746,41,53,-12,1743,39,42,-3,1766,54,31,23,1773,44,37,7,1792,54,35,19,1831,80,41,39,1842,53,42,11,1862,65,45,20,1878,37,21,16,1905,89,62,27,1919,69,55,14,1915,73,77,-4
RO,110002,Ro-Ariquemes,15784,720,625,95,15783,701,702,-1,15327,259,715,-456,15087,259,499,-240,15076,391,402,-11,15092,443,427,16,15285,631,438,193,15449,664,500,164,15646,753,556,197,15800,624,470,154,15873,472,399,73,15819,603,657,-54,16014,755,560,195,16040,555,529,26
RO,110003,Ro-Cabixi,428,9,6,3,423,5,10,-5,416,4,11,-7,414,2,4,-2,412,5,7,-2,410,6,8,-2,406,2,6,-4,411,12,7,5,419,11,3,8,433,17,3,14,416,3,20,-17,414,1,3,-2,420,10,4,6,417,4,7,-3
RO,110004,Ro-Cacoal,16205,932,739,193,16202,788,791,-3,15881,314,635,-321,15758,434,557,-123,15779,511,490,21,15825,658,612,46,16014,742,553,189,16101,730,643,87,16186,724,639,85,16284,750,652,98,16384,700,600,100,16278,628,734,-106,16384,818,712,106,16557,835,662,173
RO,110005,Ro-Cerejeiras,1825,87,63,24,1804,64,85,-21,1731,27,100,-73,1707,37,61,-24,1700,37,44,-7,1698,59,61,-2,1729,73,42,31,1745,76,60,16,1779,88,54,34,1825,98,52,46,1838,64,51,13,1854,91,75,16,1919,128,63,65,1927,87,79,8
RO,110006,Ro-Colorado do Oeste,1755,70,71,-1,1754,69,70,-1,1739,43,58,-15,1740,36,35,1,1755,45,30,15,1772,46,29,17,1791,65,46,19,1804,67,54,13,1828,90,66,24,1839,73,62,11,1851,59,47,12,1862,59,48,11,1875,57,44,13,1866,48,57,-9
RO,110007,Ro-Corumbiara,1111,64,34,30,1117,38,32,6,1105,17,29,-12,1098,17,24,-7,1085,12,25,-13,1100,30,15,15,1104,29,25,4,1110,22,16,6,1124,27,13,14,1114,30,40,-10,1132,32,14,18,1145,45,32,13,1172,45,18,27,1177,25,20,5
RO,110008,Ro-Costa Marques,411,4,11,-7,421,14,4,10,418,2,5,-3,417,4,5,-1,420,9,6,3,421,5,4,1,422,3,2,1,415,4,11,-7,421,9,3,6,418,4,7,-3,420,3,1,2,422,8,6,2,425,9,6,3,432,9,2,7
RO,110009,Ro-Espigao D Oeste,3980,142,147,-5,3962,153,171,-18,3921,75,116,-41,3890,80,111,-31,3940,138,88,50,4029,255,166,89,4119,253,163,90,4186,232,165,67,4234,215,167,48,4252,178,160,18,4232,162,182,-20,4282,197,147,50,4269,192,205,-13,4309,214,174,40
RO,110010,Ro-Guajara-Mirim,2709,72,77,-5,2696,105,118,-13,2646,18,68,-50,2636,37,47,-10,2637,49,48,1,2648,50,39,11,2670,76,54,22,2692,67,45,22,2716,70,46,24,2737,69,48,21,2761,49,25,24,2785,63,39,24,2805,76,56,20,2796,69,78,-9
RO,110011,Ro-Jaru,9043,246,335,-89,9038,326,331,-5,8857,92,273,-181,8948,344,253,91,8933,209,224,-15,8866,262,329,-67,8911,311,266,45,8966,311,256,55,8966,298,298,0,9034,339,271,68,9093,293,234,59,8936,306,463,-157,9114,507,329,178,9102,350,362,-12
RO,110012,Ro-Ji-Parana,26631,1180,1424,-244,26506,1015,1140,-125,25690,404,1220,-816,25593,807,904,-97,25600,896,889,7,25689,1054,965,89,25672,979,996,-17,25866,1037,843,194,25918,984,932,52,25954,1028,992,36,25885,808,877,-69,25921,977,941,36,26098,1097,920,177,26179,1043,962,81
RO,110013,Ro-Machadinho D Oeste,2304,225,77,148,2154,76,226,-150,2104,28,78,-50,2085,39,58,-19,2088,60,57,3,2157,127,58,69,2178,72,51,21,2191,106,93,13,2228,113,76,37,2258,115,85,30,2254,82,86,-4,2338,168,84,84,2353,118,103,15,2381,111,83,28
RO,110014,Ro-Nova Brasilandia D Oeste,1139,54,38,16,1146,40,33,7,1141,30,35,-5,1126,21,36,-15,1119,26,33,-7,1125,36,30,6,1133,35,27,8,1140,34,27,7,1150,45,35,10,1151,38,37,1,1150,33,34,-1,1158,35,27,8,1196,53,15,38,1218,50,28,22
RO,110015,Ro-Ouro Preto do Oeste,4774,211,183,28,4754,167,187,-20,4640,61,175,-114,4479,62,223,-161,4476,161,164,-3,4486,172,162,10,4579,217,124,93,4657,224,146,78,4669,187,175,12,4710,172,131,41,4726,181,165,16,4743,196,179,17,4751,186,178,8,4804,235,182,53
RO,110018,Ro-Pimenta Bueno,10233,429,293,136,10110,352,475,-123,9804,151,457,-306,9800,242,246,-4,9932,362,230,132,10084,413,261,152,10184,414,314,100,10302,399,281,118,10320,332,314,18,10388,339,271,68,10383,246,251,-5,10415,296,264,32,10452,361,324,37,10511,329,270,59
